questions,type,answers
How do you manage the performance of your employees?,management,"Me and the employee, together, will create achievable goals based on the company goals and their own goals. On a regular basis, I will give feedback to my employees on how they are performing."
 A high-performing employee has recently been under-performing. How would you deal with the situation?,management,I would show them their performance history so they can see the drop in their performance. I would then ask them why it has changed.
"When you enter a new workplace with new employees, how would you go about gaining rapport with them?",management,I would meet them all on a one on one basis as soon as possible. I would use that time to get to know each employee individually.
How do you handle conflict with two employees?,management,"I would diffuse the situation by speaking to each employee individually about the situation. After understanding each side, I will find some mutual solutions for the conflict."
 How do you handle failure?,management,I take failure as a learning experience. I go back and understand why I failed. That way I can ensure that I don’t make the same mistakes again.
 How do you solve problems?,management,"I find out as much as possible about the problem. Then I look at all possible solutions. If there are others who may have some valuable input, I will also find out what their thoughts are. Based on this information, I will choose the course of action that will be the most effective."
 Describe how you would manage your work week.,management,"I would use Monday to come in early and prioritize my work for the week. I will set up deadlines and goals for each day of the week. I would make sure that I allocate some time each day for a certain task that may come up. That way, I have a plan of attack for each day of the week and also time to handle unexpected activities."
 How would you explain your management style?,management,I am a relationship builder. I get to know my employees and gain their trust and confidence. I am very direct and to the point in my communication style so there is no ambiguity in my messages.
How would you go about disciplining an employee who is continually under-performing?,management,"I would have given them the opportunity to improve their performance first and set those expectations. In this conversation, I would also ensure they understand what will happen if they do not improve their performance."
How do you adapt to change?,management,"When a change occurs, I ensure that I have all the information about it first. I understand all the implications and the possible reactions to the change. As a manager, you must be the first to adapt to the change, so I adjust accordingly. Then after communicating the change to my employees, I help them improve and show my buy-in to the change."
Who is the governor of RBI?,banking, Mr. Raghuram Govind Rajan is the 23rd governor of RBI
Tell us something about the 27th or latest public sector bank in India.,banking,the 27th public sector bank in India is Bhartiya Mahila Bank. It was created by Finance Bill 2012. The first BMB was opened in Mumbai on 19th November 2013 on the 94th birth anniversary of Indira Gandhi. India is the third country in the world to have a bank especially for women after Pakistan and Tanzania.
What do you understand by the GDP of the country?,banking,"The final value of all the goods and services produced under the geographical area of a country is the Gross Domestic Product of that country. GDP is calculated at consumption, investment and exports and imports are subtracted from the sum of these three."
"Who are the Bharat Ratna awardees, 2014?",banking, Mr. Sachin Tendulkar and Mr.C.N.R rao are the two recent awardees of Bharat Ratna award
What is a Non -banking Financial Company (NBFC)?,banking,"A NBFC is a company registered under the companies act, 1956 which is involved in the business of loans, shares/stocks, etc. Non-banking financial companies are financial institutions that provide banking services, but do not hold a banking license."
What is the difference between nationalized banks and private banks?,banking,A nationalized bank is owned by the govt. of that country and is also known as public sector bank whereas a private sector bank is owned by an independent individual or company.
What are the Non Performing assets of a company?,banking,A NPA is an obligation payable to the bank which has not been made or the interest and principal amount has not been paid on the due time. NPA is the loan or credit provided by the bank to its customers which could not be recovered in due time. Thus NPA is somehow not yielding any income to the lender either in the form of principal or interest payments. NPA is also known as “bad debts”.
What are the various risks that banks face?,banking," Credit Risk: - loan or NPA  ,  Market Risk: - Money invested in the market ,  Operational risk: - Day-to-Day working risks."
What do you mean by term “CASA” related to bank?,banking,CASA stands for Current Account Savings Account. 
What is the difference between cheque and demand draft?,banking,Cheque is a negotiable instrument which is paid to the bearer but a demand draft is a negotiable instrument always payable on order.
Tell us something about BSBDA.,banking,BSBDA stands for Basic Savings Bank deposit account. BSBDA is the new name for “no-frill accounts” under which anyone can open a bank account with even zero balance in it or “zero balance account”. 
What is the meaning of “base rate”?,banking,Base Rate is the minimum rate of interest which a bank has to charge from its customers and a bank can’t sanction loan on a rate below the base rate. This rate came into effect from July 1 2010.
We hear regularly that all bank branches are turning CBS. What is CBS?,banking,"CBS stands for CORE banking solutions under which the branches of the banks are interconnected with each other through intra net with a central database server. Now, with this facility, a person having an account in a certain branch of the bank can operate from any other branch of the same bank. He need not visit the same branch to operate his account. The CORE word in CBS stands for Centralized Online Realtime Exchange."
What is Para Banking?,banking,"Para Banking includes all the services provided by banks apart from day to day banking. For example: - Debit cards, Credit cards, Life Insurance products, Cash Management services etc."
What are the components of the monetary policy of RBI?,banking,"The components of monetary policy include CRR, Repo rate, reverse repo rate, SLR, MSF and Bank Rate."
What is priority sector credit?,banking,All Indian banks and foreign banks (which have more than 20 branches in India) are required give 40% of their credit to priority sector out of which 18% is for agriculture.
What is the difference between Micro finance and micro credit?,banking,"Micro credit is giving a small amount of loan to the customers whereas Micro Finance is a wide term. It includes small loan + training on financial matters. In other words, Micro finance= Microcredit + Financial Literacy."
What is REPO rate and reverse REPO rate?,banking,"Repo rate is the rate at which banks borrow from RBI during shortage of funds. This is a short term loan provided for upto 90 days by selling securities to RBI and receiving money in lieu of it. Reverse repo rate is the rate at which banks deposit their excess liquidity with the RBI. In other words, the rate at which RBI borrows from banks by selling securities in order to control excess liquidity in the market is reverse repo rate."
What is Bank rate?,banking,It is same as repo rate but here the time period is for more than 90 days.
What is Cash Reserve Ratio (CRR)?,banking,CRR is the part of Net Demand and Time Liabilities (NDTL) or cash of the bank deposited with the RBI
What is Statutory Liquidity Ratio (SLR)?,banking,"SLR is the amount of NDTL which a bank needs to maintain in the form of cash, gold or govt. securities before providing credit to its customers. Through SLR, RBI makes sure that bank always have a reserve amount out of their deposits to meet any future contingencies"
What is Marginal Standing facility (MSF)?,banking,"In MSF, banks borrow money from RBI for upto 24 hours. MSF is always 1% above the repo rate and banks can draw only upto 25 of their NDTL from RBI."
What is Term Repo?,banking,"Under term repo, RBI lends to banks through auction of funds. The minimum interest charged has to be above the repo rate and there is no limit for maximum interest rate because auction is made on the rate of interest."
What is white label ATM?,banking,It refers to ATMs owned by corporate or private operators seeking to earn a commission by banks for transactions performed by their customers. For ex:- INDICASH by TATA group.
What is brown label ATM?,banking,"It refers to the ATMs where investment, installation and maintenance is by a private operator but the license and branding is by a commercial bank."
Tell us something about NABARD and its functions.,banking,NABARD was established by an act of Parliament on 12 July 1976 as National Bank for Agricultural and Rural Development. It is the apex bank to provide rural credit and monitor the RRBs.
What is banking ombudsman scheme?,banking,"The banking ombudsman scheme is a scheme to listen to customer’s grievances and complaints regarding certain services provided by the bank. It was introduced under the Section 35 A of banking regulation act, 1949 by RBI with effect from 1995 which was later amended and became the banking ombudsman scheme, 2006. Customer can appeal against the decision of ombudsman to deputy governor of RBI. He is the highest authority of appeal. All banks in India are covered under the scheme."
What is the difference between FII and FDI?,banking,FDI or foreign direct investment is an investment that a parent company makes in a foreign country. FII or Foreign Institutional Investor is an investment made by an investor in the markets of a foreign nation. FII can enter the stock market easily and also withdraw from it easily. But FDI cannot enter and exit that easily as FDI only targets a specific sector.
What is the CAD? What is Fiscal deficit?,banking,CAD or current account deficit is the difference between the imports and exports of a nation in one financial year whereas fiscal deficit is the difference between total revenue and expenditure of a nation.
What is inflation and deflation?,banking,"Inflation is the increase in the price of goods and services due to more demand and less supply. In inflation, there is more liquidity in market which has to be controlled to reduce the purchasing power of customers. Deflation is the decrease in prices of goods and services due to more supply and very less demand. In deflation, there is lack of liquidity in market which results in very weak purchasing power of people."
What is Capital Adequacy Ratio? What is DEMAT account?,banking,"CAR is the proportion of capital to the banks’ risk. DEMAT accounts are those in which shares, securities and insurance policies are kept in electronic form."
Name a few poverty eradication schemes of govt. of India.,banking,"Food Security bill, MNREGA, Sarva Shiksha Abhiyaan, Antoday Yojana, JNURRM, Swalamban Yojana, Nirmal Gram Yojana, Rajiv Awas Yojana, Indira Gandhi Pension plan etc"
What is accretion and dilution?,banking,Accretion is asset growth through addition or expansion. Accretion can occur through a company’s internal development or by way of mergers and acquisitions. Dilution is a reduction in earnings per share of stock that occurs when additional shares are issued or the stock changes into convertible securities.
Define CAPM,banking,"CAPM is the capital asset pricing model, and it is a model designed to find the expected return on an investment and therefore the appropriate discount rate for a company’s cash flows. It provides the required rate of return given the riskiness of the asset. "
,,
,,
,,
